id,first_name,last_name,email,phone,position,branch_id,hire_date,active
1,Kimberly,Fox,kimberly.fox@rentalco.com,+1 474 346 2754,agent,21,2019-02-09,1
2,Nicole,Dawson,nicole.dawson@rentalco.com,+44 547 184 9408,manager,22,2015-02-01,0
3,Sander,de Graaf,sander.degraaf@rentalco.com,+31 763 396 4045,agent,31,2016-10-20,0
4,Marcella,Greco,marcella.greco@rentalco.com,+39 318 918 7597,agent,55,2023-08-03,1
5,Patrice,Leroux,patrice.leroux@rentalco.com,+33 557 877 4154,accountant,32,2017-02-08,1
6,Ryan,Palmer,ryan.palmer@rentalco.com,+1 210 508 1329,manager,45,2025-02-08,1
7,Paula,Aguilar,paula.aguilar@rentalco.com,+34 372 941 7369,agent,71,2021-07-28,1
8,Arabella,Fisher,arabella.fisher@rentalco.com,+44 256 012 1501,mechanic,77,2023-09-19,1
9,Ivy,Watson,ivy.watson@rentalco.com,+44 775 976 1697,agent,64,2015-07-18,1
10,Estelle,Andre,estelle.andre@rentalco.com,+33 465 969 4938,agent,17,2018-02-19,1
11,Antonella,Ferrero,antonella.ferrero@rentalco.com,+39 846 209 7363,accountant,26,2022-08-04,1
12,Lucas,Peters,lucas.peters@rentalco.com,+44 347 875 2745,agent,18,2014-07-31,1
13,Catherine,Watson,catherine.watson@rentalco.com,+1 615 604 5565,agent,65,2026-01-24,1
14,Theodore,Sutherland,theodore.sutherland@rentalco.com,+44 949 157 7548,agent,35,2021-03-29,1
15,Grégory,Joly,grgory.joly@rentalco.com,+33 455 529 4390,manager,11,2016-04-01,1
16,Otto,Möller,otto.mller@rentalco.com,+49 429 226 1424,agent,71,2017-07-25,1
17,Scarlett,Welch,scarlett.welch@rentalco.com,+44 056 956 6448,mechanic,32,2018-04-30,1
18,Loredana,Amato,loredana.amato@rentalco.com,+39 294 567 1007,accountant,79,2024-04-03,1
19,Saverio,Colombo,saverio.colombo@rentalco.com,+39 602 992 2362,agent,12,2019-06-03,1
20,Lucy,Ferguson,lucy.ferguson@rentalco.com,+44 694 475 1096,agent,49,2022-10-14,1
21,Kurt,Ludwig,kurt.ludwig@rentalco.com,+49 482 688 8891,agent,50,2019-11-24,1
22,Jakob,Weiß,jakob.wei@rentalco.com,+49 814 182 1129,agent,41,2023-06-09,1
23,Eliza,Rhodes,eliza.rhodes@rentalco.com,+44 315 864 0707,manager,67,2024-07-23,1
24,Rosalie,Doyle,rosalie.doyle@rentalco.com,+1 689 365 0322,agent,52,2014-11-21,1
25,Lily,Lee,lily.lee@rentalco.com,+44 069 196 2158,manager,58,2021-11-14,1
26,Émile,Webster,mile.webster@rentalco.com,+1 525 757 6398,accountant,42,2015-01-12,1
27,Bianca,Rinaldi,bianca.rinaldi@rentalco.com,+39 580 187 7397,manager,38,2021-04-29,1
28,Jesús,Nieto,jess.nieto@rentalco.com,+34 554 689 5906,agent,76,2016-02-06,1
29,Jane,Gordon,jane.gordon@rentalco.com,+44 958 248 0035,agent,21,2022-10-25,1
30,Almudena,Vázquez,almudena.vzquez@rentalco.com,+34 607 924 9329,agent,40,2023-12-29,1
31,Colton,Butler,colton.butler@rentalco.com,+1 850 500 1104,agent,7,2025-04-26,1
32,Kim,van den Brink,kim.vandenbrink@rentalco.com,+31 412 548 6624,agent,23,2025-01-26,1
33,Nico,Jonker,nico.jonker@rentalco.com,+31 227 715 3691,manager,28,2025-09-13,1
34,Violet,Swanson,violet.swanson@rentalco.com,+1 412 461 1939,agent,60,2023-10-23,1
35,Alma,Guerrero,alma.guerrero@rentalco.com,+34 028 888 4166,agent,61,2023-04-06,1
36,Bruce,Sanders,bruce.sanders@rentalco.com,+1 571 392 4432,mechanic,35,2019-06-10,1
37,Arjan,Sanders,arjan.sanders@rentalco.com,+31 508 516 1285,mechanic,29,2021-01-17,0
38,Maverick,Moreno,maverick.moreno@rentalco.com,+1 561 631 7071,mechanic,69,2017-08-21,0
39,Henrik,Maier,henrik.maier@rentalco.com,+49 670 929 3251,mechanic,72,2015-03-02,1
40,Lincoln,Long,lincoln.long@rentalco.com,+1 757 955 7660,agent,73,2025-02-14,1
41,Erin,Richardson,erin.richardson@rentalco.com,+44 719 788 6668,agent,64,2021-01-24,1
42,Norman,Yates,norman.yates@rentalco.com,+1 615 573 6395,agent,36,2020-07-01,1
43,Estrella,Ibáñez,estrella.ibez@rentalco.com,+34 694 423 8933,mechanic,27,2025-08-08,1
44,Karel,Meier,karel.meier@rentalco.com,+31 123 358 8194,agent,13,2023-02-28,1
45,Hanna,van den Broek,hanna.vandenbroek@rentalco.com,+31 118 456 9863,mechanic,4,2022-12-16,1
46,Martín,Rubio,martn.rubio@rentalco.com,+34 140 378 0101,agent,29,2020-03-26,1
47,Ruby,James,ruby.james@rentalco.com,+44 290 269 0870,mechanic,43,2018-02-27,1
48,Marta,Moya,marta.moya@rentalco.com,+34 679 674 8340,agent,11,2024-06-21,1
49,Éric,Peterson,ric.peterson@rentalco.com,+1 834 972 4584,mechanic,49,2023-07-21,1
50,Gertrudis,Giménez,gertrudis.gimnez@rentalco.com,+34 909 078 2407,mechanic,62,2017-06-26,1
51,Eli,Reyes,eli.reyes@rentalco.com,+1 586 206 2872,manager,18,2017-10-15,0
52,Carla,Fiorentino,carla.fiorentino@rentalco.com,+39 139 608 8898,agent,56,2022-05-01,1
53,Douglas,Tate,douglas.tate@rentalco.com,+1 521 287 8845,accountant,27,2015-01-09,1
54,Paolo,Migliore,paolo.migliore@rentalco.com,+39 959 477 3290,mechanic,23,2023-05-04,1
55,Donald,West,donald.west@rentalco.com,+1 229 919 2440,mechanic,46,2015-08-19,1
56,Carter,Sharp,carter.sharp@rentalco.com,+1 354 576 0919,agent,67,2015-12-03,0
57,Taylor,Elliott,taylor.elliott@rentalco.com,+1 215 928 1271,agent,36,2024-08-14,1
58,Virtudes,Pastor,virtudes.pastor@rentalco.com,+34 215 374 2543,manager,19,2021-08-28,1
59,Alejandra,Castro,alejandra.castro@rentalco.com,+34 122 146 7009,agent,11,2017-01-20,1
60,Edward,Hoffman,edward.hoffman@rentalco.com,+1 427 787 7401,agent,4,2025-06-27,1
61,Juanita,Sims,juanita.sims@rentalco.com,+1 704 225 7772,manager,28,2018-05-23,1
62,Gerald,Medina,gerald.medina@rentalco.com,+1 813 398 5645,agent,65,2024-12-31,1
63,Volker,Lehmann,volker.lehmann@rentalco.com,+49 627 446 4020,agent,29,2020-07-27,1
64,Carmela,Mancuso,carmela.mancuso@rentalco.com,+39 476 880 0138,mechanic,75,2014-08-21,1
65,Nicolás,Ruiz,nicols.ruiz@rentalco.com,+34 133 917 6842,manager,23,2020-07-07,1
66,Gemma,Martini,gemma.martini@rentalco.com,+39 043 250 6747,accountant,66,2017-12-16,1
67,Filomena,Donati,filomena.donati@rentalco.com,+39 558 270 4815,agent,49,2023-12-08,1
68,Benjamin,Lucas,benjamin.lucas@rentalco.com,+33 503 145 5232,mechanic,33,2025-10-03,1
69,Yvonne,van der Meulen,yvonne.vandermeulen@rentalco.com,+31 106 658 0951,agent,15,2022-02-12,1
70,Jordan,Little,jordan.little@rentalco.com,+44 435 380 0431,agent,75,2015-01-23,1
71,Ane,Muñoz,ane.muoz@rentalco.com,+34 786 899 0399,agent,7,2023-07-27,1
72,Cameron,Peterson,cameron.peterson@rentalco.com,+1 754 749 7924,agent,12,2025-08-19,1
73,Lili,Fabre,lili.fabre@rentalco.com,+33 855 016 1219,agent,61,2017-09-08,1
74,Lola,Pascual,lola.pascual@rentalco.com,+34 089 597 3686,agent,20,2020-08-28,1
75,Willow,Hanson,willow.hanson@rentalco.com,+1 702 678 9197,agent,32,2017-05-20,1
76,Jason,Francis,jason.francis@rentalco.com,+1 707 362 3495,agent,20,2020-06-23,1
